seq,ros_time_sec,wall_time_iso,source,topic,height_cm,array_ground_height_cm,point_height_cm,pair_age_sec,drop_cm
140,1779458686.473436356,2026-05-22T22:04:46.473,array_ground,/laser_array/ground_height,27,27,15,0.003681,3.000
141,1779458686.474791050,2026-05-22T22:04:46.474,array_ground,/laser_array/ground_height,27,27,15,0.005035,3.000
142,1779458686.475353718,2026-05-22T22:04:46.475,point_fc,/height,15,27,15,0.000563,3.000
143,1779458686.476585865,2026-05-22T22:04:46.476,array_ground,/laser_array/ground_height,27,27,15,0.001232,3.000
144,1779458686.477931976,2026-05-22T22:04:46.478,array_ground,/laser_array/ground_height,27,27,15,0.002578,3.000
145,1779458686.479273319,2026-05-22T22:04:46.479,array_ground,/laser_array/ground_height,27,27,15,0.003920,3.000
146,1779458686.480465174,2026-05-22T22:04:46.480,array_ground,/laser_array/ground_height,27,27,15,0.005111,3.000
147,1779458686.480865479,2026-05-22T22:04:46.480,point_fc,/height,15,27,15,0.000400,3.000
148,1779458686.481810093,2026-05-22T22:04:46.481,array_ground,/laser_array/ground_height,27,27,15,0.000945,3.000
149,1779458686.482764482,2026-05-22T22:04:46.482,array_ground,/laser_array/ground_height,27,27,15,0.001899,3.000
150,1779458686.483709097,2026-05-22T22:04:46.483,array_ground,/laser_array/ground_height,28,28,15,0.002844,4.000
151,1779458686.484658957,2026-05-22T22:04:46.484,array_ground,/laser_array/ground_height,28,28,15,0.003793,4.000
152,1779458686.485044241,2026-05-22T22:04:46.485,point_fc,/height,15,28,15,0.000385,4.000
153,1779458686.489541054,2026-05-22T22:04:46.489,point_fc,/height,15,28,15,0.004882,4.000
154,1779458686.493455172,2026-05-22T22:04:46.493,array_ground,/laser_array/ground_height,28,28,15,0.003914,4.000
155,1779458686.494513035,2026-05-22T22:04:46.494,point_fc,/height,15,28,15,0.001058,4.000
156,1779458686.500111103,2026-05-22T22:04:46.500,point_fc,/height,15,28,15,0.006656,4.000
157,1779458686.504831791,2026-05-22T22:04:46.504,point_fc,/height,15,28,15,0.011377,4.000
158,1779458686.509138584,2026-05-22T22:04:46.509,array_ground,/laser_array/ground_height,28,28,15,0.004307,4.000
159,1779458686.509996891,2026-05-22T22:04:46.510,point_fc,/height,15,28,15,0.000858,4.000
160,1779458686.514388800,2026-05-22T22:04:46.514,point_fc,/height,15,28,15,0.005250,4.000
161,1779458686.519553423,2026-05-22T22:04:46.519,point_fc,/height,15,28,15,0.010415,4.000
162,1779458686.524548769,2026-05-22T22:04:46.524,point_fc,/height,15,28,15,0.015410,4.000
163,1779458686.525905371,2026-05-22T22:04:46.525,array_ground,/laser_array/ground_height,28,28,15,0.001357,4.000
164,1779458686.529585600,2026-05-22T22:04:46.529,point_fc,/height,15,28,15,0.003680,4.000
165,1779458686.534538031,2026-05-22T22:04:46.534,point_fc,/height,15,28,15,0.008633,4.000
166,1779458686.539701700,2026-05-22T22:04:46.539,point_fc,/height,15,28,15,0.013796,4.000
167,1779458686.541436195,2026-05-22T22:04:46.541,array_ground,/laser_array/ground_height,28,28,15,0.001734,4.000
168,1779458686.544491529,2026-05-22T22:04:46.544,point_fc,/height,15,28,15,0.003055,4.000
169,1779458686.549558640,2026-05-22T22:04:46.549,point_fc,/height,15,28,15,0.008122,4.000
170,1779458686.554670334,2026-05-22T22:04:46.554,point_fc,/height,15,28,15,0.013234,4.000
171,1779458686.559679985,2026-05-22T22:04:46.559,array_ground,/laser_array/ground_height,28,28,15,0.005010,4.000
