t_rel_s,ts_ns,values
13.820,1779427889652443511,"[-0.0, -0.0, 20.0, 1.334313726175651e-08]"
13.840,1779427889672398807,"[-0.0, -0.0, 20.0, 1.0674510164676576e-08]"
13.860,1779427889692465518,"[-0.0, -0.0, 20.0, 8.539608131741261e-09]"
13.880,1779427889712440354,"[-0.0, -0.0, 20.0, 6.831686327757325e-09]"
13.900,1779427889732459233,"[-0.0, -0.0, 20.0, 5.46534906220586e-09]"
13.920,1779427889752627442,"[0.3888767659664154, -1.6651325225830078, 20.0, 4.372279427400372e-09]"
13.940,1779427889772433698,"[0.4486578106880188, -1.5543385744094849, 20.0, 3.4978235863292184e-09]"
13.961,1779427889792854029,"[0.47098398208618164, -1.4445710182189941, 20.0, 2.7982587358366118e-09]"
13.980,1779427889812395622,"[0.4398258328437805, -1.3000367879867554, 20.0, 2.2386070774871314e-09]"
14.001,1779427889832921702,"[0.6861011981964111, -1.4412158727645874, 20.0, 1.7908856619897051e-09]"
14.020,1779427889852437169,"[0.7318267822265625, -1.4163542985916138, 20.0, 1.4327085073873036e-09]"
14.040,1779427889872443214,"[0.654186487197876, -1.2660918235778809, 20.0, 1.1461668281143034e-09]"
14.060,1779427889892600341,"[0.5583716034889221, -1.0206217765808105, 20.0, 9.169334180825217e-10]"
14.080,1779427889912489429,"[0.5825861096382141, -1.0091416835784912, 20.0, 7.335467233637871e-10]"
14.100,1779427889932388142,"[0.5729314088821411, -0.9685045480728149, 20.0, 5.868374119977204e-10]"
14.120,1779427889952448728,"[0.04506824538111687, -0.09555796533823013, 20.0, 4.694699073937159e-10]"
14.140,1779427889972374273,"[0.0, -0.0, 20.0, 3.755759314660878e-10]"
14.160,1779427889992487942,"[0.0, -0.0, 20.0, 3.004607396217551e-10]"
14.180,1779427890012577694,"[0.0, -0.0, 20.0, 2.40368586146289e-10]"
14.200,1779427890032537656,"[-0.0, -0.0, 20.0, 1.922948744681463e-10]"
14.220,1779427890052559451,"[-0.0, -0.0, 20.0, 1.538359023500746e-10]"
14.240,1779427890072563454,"[-0.0, -0.0, 20.0, 1.2306872188005968e-10]"
14.260,1779427890092631040,"[-0.0, -0.0, 20.0, 9.845498027960531e-11]"
14.280,1779427890112428254,"[-0.0, -0.0, 20.0, 7.876398144812669e-11]"
14.300,1779427890132494382,"[-0.0, -0.0, 20.0, 6.301118654628013e-11]"
14.320,1779427890152508885,"[-0.0, 0.0, 20.0, 5.040894784924532e-11]"
