t_rel_s,ts_ns,value
11.090,1779427886922558307,10
11.106,1779427886938680733,10
11.122,1779427886954285124,10
11.138,1779427886970239677,10
11.154,1779427886986585350,10
11.170,1779427887002361406,10
11.186,1779427887018413083,10
11.202,1779427887034090848,10
11.218,1779427887049963152,10
11.234,1779427887066060620,10
11.265,1779427887096772158,10
11.295,1779427887126933036,10
11.311,1779427887142974213,10
11.326,1779427887158639728,10
11.342,1779427887174575615,10
11.358,1779427887190610667,10
11.374,1779427887206620636,10
11.390,1779427887222581606,10
11.406,1779427887238560659,10
11.422,1779427887254348381,10
11.438,1779427887270620555,10
11.454,1779427887286344695,10
11.470,1779427887302438079,10
11.486,1779427887318091636,10
11.502,1779427887334064564,10
11.518,1779427887349972160,10
11.534,1779427887365784090,10
11.550,1779427887381783851,10
11.566,1779427887397850694,10
11.610,1779427887442714308,10
11.627,1779427887458788734,10
11.657,1779427887488903238,10
11.672,1779427887504634086,10
11.688,1779427887520648138,10
11.704,1779427887536690773,10
11.720,1779427887552672160,10
11.736,1779427887568398049,10
11.752,1779427887584286978,10
11.768,1779427887600513653,10
11.784,1779427887616506706,10
11.800,1779427887632267886,10
11.816,1779427887648161482,10
11.832,1779427887664184284,10
11.848,1779427887680075547,10
11.864,1779427887696000642,10
11.880,1779427887711954028,10
11.896,1779427887728133746,10
11.912,1779427887743970967,10
11.941,1779427887773746558,10
11.957,1779427887789678653,10
11.974,1779427887805824537,10
11.990,1779427887822351333,10
12.333,1779427888165601225,10
12.333,1779427888165760765,10
12.334,1779427888165884430,10
12.334,1779427888166404757,10
12.335,1779427888167014624,10
12.335,1779427888167092790,10
12.335,1779427888167166872,10
12.335,1779427888167608450,10
12.335,1779427888167691574,10
12.336,1779427888167766240,10
12.336,1779427888168095819,10
12.336,1779427888168175735,10
12.336,1779427888168234359,10
12.336,1779427888168544980,10
12.339,1779427888171243155,10
12.355,1779427888186773339,10
12.370,1779427888202532478,10
12.393,1779427888225365029,10
12.403,1779427888234893079,10
12.418,1779427888250375138,10
12.435,1779427888266902517,10
12.451,1779427888282933486,10
12.467,1779427888298813665,10
12.482,1779427888313990353,10
12.498,1779427888330151112,10
12.514,1779427888346080290,10
12.530,1779427888362113884,10
12.546,1779427888377859607,10
12.562,1779427888393899909,10
12.577,1779427888409694923,10
12.623,1779427888454879949,10
12.638,1779427888470710253,10
12.668,1779427888500717717,10
12.685,1779427888516894809,10
12.701,1779427888532842070,10
12.716,1779427888548439336,10
12.732,1779427888564394764,10
12.748,1779427888580465400,10
12.764,1779427888596398203,10
12.780,1779427888612556462,10
12.796,1779427888628314434,10
12.812,1779427888644139781,10
12.828,1779427888660162583,10
12.844,1779427888676094387,10
12.860,1779427888692570434,10
12.876,1779427888707973160,10
12.892,1779427888724014046,10
12.908,1779427888739943516,10
12.924,1779427888756301731,10
12.954,1779427888785961532,10
12.970,1779427888801864461,10
12.986,1779427888817850805,10
13.003,1779427888834793804,10
13.017,1779427888849474082,10
13.033,1779427888865525467,10
13.049,1779427888881480895,10
13.065,1779427888897625321,10
13.081,1779427888913252045,10
13.097,1779427888929303139,10
13.113,1779427888945200526,10
13.129,1779427888961243161,10
13.145,1779427888977082508,10
13.161,1779427888992910771,10
13.177,1779427889008960115,10
13.193,1779427889024802086,10
13.209,1779427889040861346,10
13.225,1779427889056953564,10
13.241,1779427889072763453,10
13.256,1779427889088526966,10
13.272,1779427889104429312,10
13.303,1779427889134929102,10
13.319,1779427889151166569,10
13.348,1779427889180733621,10
13.365,1779427889196896130,10
13.380,1779427889212629894,10
13.397,1779427889228918985,10
13.412,1779427889244511001,10
13.428,1779427889260463221,10
13.444,1779427889276670063,10
13.460,1779427889292349869,10
13.476,1779427889308251048,10
13.492,1779427889324253726,10
13.508,1779427889340301028,10
13.524,1779427889356326163,10
13.540,1779427889372099302,10
13.556,1779427889387909191,10
13.572,1779427889404497236,10
13.588,1779427889419832005,10
13.618,1779427889450677708,10
13.649,1779427889480967501,10
13.665,1779427889497102302,10
13.680,1779427889512515820,10
