t_rel_s,ts_ns,values
19.141,1779427894973486340,"[0, 0]"
19.225,1779427895057257265,"[0, 0]"
19.273,1779427895105537419,"[0, 0]"
19.338,1779427895170154206,"[0, 0]"
19.398,1779427895229778887,"[0, 0]"
19.478,1779427895310183395,"[0, 0]"
19.539,1779427895371234934,"[0, 0]"
19.609,1779427895440963116,"[0, 0]"
19.673,1779427895505063950,"[0, 0]"
19.730,1779427895562450409,"[0, 0]"
19.806,1779427895638646802,"[0, 0]"
19.873,1779427895705244564,"[0, 0]"
19.937,1779427895769400231,"[0, 0]"
20.004,1779427895835779538,"[0, 0]"
20.073,1779427895905762341,"[0, 0]"
20.132,1779427895964270244,"[0, 0]"
20.210,1779427896042221866,"[0, 0]"
20.270,1779427896102459040,"[0, 0]"
20.340,1779427896172706090,"[0, 0]"
20.407,1779427896239546516,"[0, 0]"
20.471,1779427896303681475,"[0, 0]"
20.535,1779427896367361148,"[0, 0]"
20.607,1779427896439422926,"[0, 0]"
20.678,1779427896510372884,"[0, 0]"
20.736,1779427896567967590,"[0, 0]"
20.809,1779427896640938773,"[0, 0]"
20.865,1779427896696852625,"[0, 0]"
20.937,1779427896768928695,"[0, 0]"
21.003,1779427896834883048,"[0, 0]"
21.066,1779427896898636220,"[0, 0]"
21.142,1779427896974404744,"[0, 0]"
21.203,1779427897035385658,"[0, 0]"
21.270,1779427897102259625,"[0, 0]"
21.340,1779427897172264303,"[0, 0]"
21.405,1779427897237135128,"[0, 0]"
21.470,1779427897302143327,"[0, 0]"
21.538,1779427897370108863,"[0, 0]"
21.625,1779427897457483702,"[0, 0]"
21.675,1779427897506817927,"[0, 0]"
21.739,1779427897570892220,"[0, 0]"
21.802,1779427897634232689,"[0, 0]"
21.874,1779427897706018262,"[0, 0]"
21.943,1779427897775020494,"[0, 0]"
22.002,1779427897833886560,"[0, 0]"
22.075,1779427897907032449,"[0, 0]"
22.138,1779427897970663123,"[0, 0]"
22.207,1779427898039128695,"[0, 0]"
22.272,1779427898104512847,"[0, 0]"
22.339,1779427898171583686,"[0, 0]"
22.397,1779427898229449347,"[0, 0]"
22.470,1779427898302237366,"[0, 0]"
22.541,1779427898373270740,"[0, 0]"
22.600,1779427898432002766,"[0, 0]"
22.668,1779427898500214133,"[0, 0]"
22.737,1779427898569000534,"[0, 0]"
22.805,1779427898637655979,"[0, 0]"
22.874,1779427898705765431,"[0, 0]"
22.941,1779427898772775313,"[0, 0]"
23.002,1779427898834111765,"[0, 0]"
23.071,1779427898903029706,"[0, 0]"
23.136,1779427898968090404,"[0, 0]"
23.202,1779427899034474377,"[0, 0]"
23.266,1779427899098186132,"[0, 0]"
23.336,1779427899168481599,"[0, 0]"
23.397,1779427899228914770,"[0, 0]"
23.470,1779427899301909286,"[0, 0]"
23.537,1779427899369018042,"[0, 0]"
23.604,1779427899435990883,"[0, 0]"
23.674,1779427899506533971,"[0, 0]"
23.731,1779427899562942192,"[0, 0]"
23.808,1779427899640115365,"[0, 0]"
23.898,1779427899729892174,"[0, 0]"
23.947,1779427899778858904,"[0, 0]"
24.001,1779427899832922154,"[0, 0]"
24.069,1779427899901667139,"[0, 0]"
24.137,1779427899968908893,"[0, 0]"
24.204,1779427900036365603,"[0, 0]"
24.271,1779427900103470858,"[0, 0]"
24.337,1779427900169119257,"[0, 0]"
24.402,1779427900234707281,"[0, 0]"
24.474,1779427900306414397,"[0, 0]"
24.541,1779427900372877994,"[0, 0]"
24.602,1779427900434470234,"[0, 0]"
24.667,1779427900499315101,"[0, 0]"
24.743,1779427900574991168,"[0, 0]"
24.803,1779427900635244091,"[0, 0]"
24.872,1779427900703936577,"[0, 0]"
24.938,1779427900769941388,"[0, 0]"
25.008,1779427900840564100,"[0, 0]"
25.068,1779427900900705317,"[0, 0]"
25.139,1779427900971610359,"[0, 0]"
25.207,1779427901039101193,"[0, 0]"
25.270,1779427901102090500,"[0, 0]"
25.339,1779427901171543643,"[0, 0]"
25.426,1779427901257946786,"[0, 0]"
25.465,1779427901296957888,"[0, 0]"
25.535,1779427901367162939,"[0, 0]"
25.603,1779427901435606928,"[0, 0]"
25.674,1779427901506728676,"[0, 0]"
25.741,1779427901572822735,"[0, 0]"
25.807,1779427901639204667,"[0, 0]"
25.875,1779427901706913081,"[0, 0]"
25.940,1779427901772692728,"[0, 0]"
26.009,1779427901841667836,"[0, 0]"
26.064,1779427901896345162,"[0, 0]"
26.145,1779427901976922043,"[0, 0]"
26.225,1779427902057725546,"[0, 0]"
26.269,1779427902101638046,"[0, 0]"
26.341,1779427902173514910,"[0, 0]"
26.407,1779427902239312932,"[0, 0]"
26.471,1779427902303130561,"[0, 0]"
26.538,1779427902370214234,"[0, 0]"
26.633,1779427902464837567,"[0, 0]"
26.665,1779427902497568580,"[0, 0]"
26.741,1779427902573745140,"[0, 0]"
26.804,1779427902635858666,"[0, 0]"
26.874,1779427902706299088,"[0, 0]"
26.934,1779427902766038393,"[0, 0]"
27.004,1779427902836202611,"[0, 0]"
27.068,1779427902900361778,"[0, 0]"
27.137,1779427902969221679,"[0, 0]"
27.205,1779427903037083592,"[0, 0]"
27.264,1779427903096264654,"[0, 0]"
27.334,1779427903166108334,"[0, 0]"
27.402,1779427903233941580,"[0, 0]"
27.470,1779427903302612192,"[0, 0]"
27.533,1779427903364854091,"[0, 0]"
27.625,1779427903456763249,"[0, 0]"
27.669,1779427903501009703,"[0, 0]"
27.740,1779427903571871871,"[0, 0]"
27.807,1779427903639345497,"[0, 0]"
27.869,1779427903701631312,"[0, 0]"
27.938,1779427903770737793,"[0, 0]"
28.008,1779427903840692472,"[0, 0]"
28.092,1779427903923967236,"[0, 0]"
28.140,1779427903972573470,"[0, 0]"
28.204,1779427904036348225,"[0, 0]"
28.267,1779427904099723694,"[0, 0]"
28.340,1779427904172425089,"[0, 0]"
28.407,1779427904239265514,"[0, 0]"
28.470,1779427904301933991,"[0, 0]"
