t_rel_s,ts_ns,value
27.869,1779427903701507939,nan
27.938,1779427903770588753,nan
28.008,1779427903840643764,nan
28.091,1779427903923637365,nan
28.140,1779427903972350931,nan
28.204,1779427904036058312,nan
28.267,1779427904099538488,nan
28.340,1779427904172369673,nan
28.407,1779427904238975309,nan
28.469,1779427904301599454,nan
28.536,1779427904368329631,nan
28.603,1779427904435479511,nan
28.671,1779427904503247425,nan
28.742,1779427904573885012,nan
28.806,1779427904638659880,nan
28.873,1779427904705023144,nan
28.940,1779427904771829446,nan
29.006,1779427904838513248,nan
29.069,1779427904900796730,nan
29.136,1779427904967939610,nan
29.207,1779427905038802653,nan
29.271,1779427905102972611,nan
29.338,1779427905170458779,nan
29.404,1779427905235974762,nan
29.473,1779427905305698277,nan
29.542,1779427905374022976,nan
29.603,1779427905434919684,nan
29.664,1779427905496658047,nan
29.735,1779427905567183052,nan
29.797,1779427905629163204,nan
29.878,1779427905709894667,nan
29.942,1779427905773972460,nan
30.024,1779427905856070656,nan
30.069,1779427905901686760,nan
30.136,1779427905968525144,nan
30.202,1779427906034440706,nan
30.271,1779427906103511479,nan
30.336,1779427906168573343,nan
30.404,1779427906236489714,nan
30.466,1779427906298762237,nan
30.535,1779427906367120478,nan
30.605,1779427906436874326,nan
30.675,1779427906506903795,nan
30.737,1779427906569375108,nan
30.802,1779427906633890396,nan
30.869,1779427906701158108,nan
30.935,1779427906767638621,nan
31.000,1779427906832411739,nan
31.075,1779427906906928445,nan
31.139,1779427906971318025,nan
31.201,1779427907033019931,nan
31.276,1779427907108367585,nan
31.340,1779427907172297796,nan
31.403,1779427907235476976,nan
31.469,1779427907301376204,nan
31.559,1779427907390958766,nan
31.599,1779427907431505183,nan
31.668,1779427907500725287,nan
31.737,1779427907569104527,nan
31.798,1779427907630375355,nan
31.876,1779427907708529391,nan
31.942,1779427907773945042,nan
32.008,1779427907840689219,nan
32.068,1779427907900209485,nan
32.144,1779427907976640376,nan
32.202,1779427908034496120,nan
32.276,1779427908108101379,nan
32.339,1779427908171660304,nan
32.406,1779427908238029110,nan
32.468,1779427908300397466,nan
32.539,1779427908371101844,nan
32.608,1779427908439931412,nan
32.674,1779427908506304885,nan
32.742,1779427908574576501,nan
32.804,1779427908636722318,nan
32.874,1779427908705877381,nan
32.932,1779427908764354952,nan
33.007,1779427908838894407,nan
33.068,1779427908900479064,nan
33.137,1779427908968926845,nan
33.203,1779427909034893740,nan
33.274,1779427909106048446,nan
33.342,1779427909174693391,nan
33.408,1779427909240702868,nan
33.469,1779427909301128748,nan
33.532,1779427909364064972,nan
33.602,1779427909434240564,nan
33.670,1779427909501838147,nan
33.742,1779427909574743415,nan
33.808,1779427909640050568,nan
33.870,1779427909701984970,nan
33.931,1779427909762789804,nan
34.007,1779427909838912990,nan
34.076,1779427909908491548,nan
34.136,1779427909967801525,nan
34.203,1779427910034893906,nan
34.270,1779427910102456781,nan
34.342,1779427910174065023,nan
34.403,1779427910234846440,nan
34.473,1779427910305361820,nan
34.534,1779427910366594565,nan
34.603,1779427910435723587,nan
34.677,1779427910509351304,nan
34.733,1779427910564985159,nan
34.802,1779427910634231222,nan
34.876,1779427910708173060,nan
34.933,1779427910765216523,nan
35.005,1779427910837200719,nan
35.065,1779427910897269603,nan
35.137,1779427910969053717,nan
35.203,1779427911035156819,nan
35.270,1779427911102676236,nan
35.342,1779427911174325602,nan
35.405,1779427911236889372,nan
35.478,1779427911309835472,nan
35.543,1779427911375426122,nan
35.609,1779427911440772066,nan
35.666,1779427911497936861,nan
35.742,1779427911574379710,nan
35.802,1779427911634695632,nan
35.869,1779427911700796109,nan
35.939,1779427911771545111,nan
36.005,1779427911837312217,nan
36.079,1779427911911729757,nan
36.135,1779427911967552027,nan
36.197,1779427912029414347,nan
36.271,1779427912103200145,nan
36.341,1779427912173357072,nan
36.410,1779427912241905476,nan
36.469,1779427912301272619,nan
36.535,1779427912367149390,nan
36.608,1779427912440073324,nan
36.671,1779427912503336794,nan
36.733,1779427912565639817,nan
